"","Bat.species","Bat.family","Continent","Country","Reference","Link"
"1","Emballonura alecto","Emballonuridae","Asia","Philippines","Tsuda 2012 Arch Virol https://doi.org/10.1007/s00705-012-1410-z","https://doi.org/10.1007/s00705-012-1410-z"
"2","Taphozous melanopogon","Emballonuridae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012","https://doi.org/10.1093/ve/vex012"
"3","Taphozous melanopogon","Emballonuridae","Asia","Thailand","Wacharapluesadee 2015 Virology Journal https://doi.org/10.1186/s12985-015-0289-1","https://doi.org/10.1186/s12985-015-0289-1"
"4","Taphozous perforatus","Emballonuridae","Asia","Saudi Arabia","Memish 2013 EID https://dx.doi.org/10.3201%2Feid1911.131172","https://dx.doi.org/10.3201%2Feid1911.131172"
"5","Taphozous perforatus","Emballonuridae","Asia","Saudi Arabia","Mishra 2019 PLoS ONE https://dx.doi.org/10.1371%2Fjournal.pone.0214227","https://dx.doi.org/10.1371%2Fjournal.pone.0214227"
"6","Aselliscus stoliczkanus","Hipposideridae","Asia","China","Hu 2017 PLoS Pathog https://doi.org/10.1371/journal.ppat.1006698","https://doi.org/10.1371/journal.ppat.1006698"
"7","Aselliscus stoliczkanus","Hipposideridae","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33","https://www.nature.com/articles/s41467-020-17687-33"
"8","Aselliscus stoliczkanus","Hipposideridae","Asia","China, Laos","PREDICT database http://data.predict.global/","http://data.predict.global/"
"9","Aselliscus stoliczkanus","Hipposideridae","Asia","China, Laos","Wang 2021 Viruses https://www.mdpi.com/1999-4915/13/10/1962","https://www.mdpi.com/1999-4915/13/10/1962"
"10","Aselliscus stoliczkanus","Hipposideridae","Asia","China","Wu 2021 Research Square https://doi.org/10.21203/rs.3.rs-885194/v1","https://doi.org/10.21203/rs.3.rs-885194/v1"
"11","Hipposideros abae","Hipposideridae","Africa","Ghana","Corman 2015 J Virol https://doi.org/10.1128/JVI.01755-15","https://doi.org/10.1128/JVI.01755-15"
"12","Hipposideros armiger","Hipposideridae","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012","https://doi.org/10.1093/ve/vex012"
