Bat species,Bat family,Continent,Country,Reference,Link,,,,,,,,,,,,,,,,,,,,,
Rhinolophus ferrumequinum,Rhinolophidae,Europe,Russia,Alkhovsky 2021 bioRxiv https://doi.org/10.1101/2021.05.17.444362,https://doi.org/10.1101/2021.05.17.444362,,,,,,,,,,,,,,,,,,,,,
Rhinolophus hipposideros,Rhinolophidae,Europe,Russia,Alkhovsky 2021 bioRxiv https://doi.org/10.1101/2021.05.17.444362,https://doi.org/10.1101/2021.05.17.444362,,,,,,,,,,,,,,,,,,,,,
Desmodus rotundus,Phyllostomidae,America,Brazil,Alves 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14150,https://doi.org/10.1111/tbed.14150,,,,,,,,,,,,,,,,,,,,,
Dobsonia moluccensis,Pteropodidae,Asia,Indonesia,Anindita 2015 Archiv Virol https://doi.org/10.1007/s00705-015-2342-1,https://doi.org/10.1007/s00705-015-2342-1,,,,,,,,,,,,,,,,,,,,,
Nycteris cf. gambiensis,Nycteridae,Africa,Ghana,Annan 2013 EID https://dx.doi.org/10.3201%2Feid1903.121503,https://dx.doi.org/10.3201%2Feid1903.121503,,,,,,,,,,,,,,,,,,,,,
Pipistrellus nathusii,Vespertilionidae,Europe,"Germany, Romania, Ukraine",Annan 2013 EID https://dx.doi.org/10.3201%2Feid1903.121503,https://dx.doi.org/10.3201%2Feid1903.121503,,,,,,,,,,,,,,,,,,,,,
Pipistrellus pipistrellus,Vespertilionidae,Europe,"Netherlands, Germany, Romania",Annan 2013 EID https://dx.doi.org/10.3201%2Feid1903.121503,https://dx.doi.org/10.3201%2Feid1903.121503,,,,,,,,,,,,,,,,,,,,,
Pipistrellus pygmaeus,Vespertilionidae,Europe,"Germany, Romania, Ukraine",Annan 2013 EID https://dx.doi.org/10.3201%2Feid1903.121503,https://dx.doi.org/10.3201%2Feid1903.121503,,,,,,,,,,,,,,,,,,,,,
Nyctinomops laticaudatus,Molossidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0,https://doi.org/10.1099/vir.0.049759-0,,,,,,,,,,,,,,,,,,,,,
Tadarida brasiliensis,Molossidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0,https://doi.org/10.1099/vir.0.049759-0,,,,,,,,,,,,,,,,,,,,,
