Bat species,Number of samples,Bat family,Continent,Country,Reference
Taphozous perforatus,27,Emballonuridae,Africa,Egypt,Ali 2017 Eurosurveillance 10.2807/1560-7917.ES.2017.22.11.30487
Nycteris thebaica,30,Nycteridae,Africa,Egypt,Ali 2017 Eurosurveillance 10.2807/1560-7917.ES.2017.22.11.30487
Rousettus aegyptiacus,24,Pteropodidae,Africa,Egypt,Ali 2017 Eurosurveillance 10.2807/1560-7917.ES.2017.22.11.30487
Pipistrellus deserti,28,Vespertilionidae,Africa,Egypt,Ali 2017 Eurosurveillance 10.2807/1560-7917.ES.2017.22.11.30487
Miniopterus schreibersii,4,Miniopteridae,Europe,Russia,Alkhovsky 2021 bioRxiv https://doi.org/10.1101/2021.05.17.444362
Rhinolophus euryale,4,Rhinolophidae,Europe,Russia,Alkhovsky 2021 bioRxiv https://doi.org/10.1101/2021.05.17.444362
Rhinolophus ferrumequinum,104,Rhinolophidae,Europe,Russia,Alkhovsky 2021 bioRxiv https://doi.org/10.1101/2021.05.17.444362
Rhinolophus hipposideros,82,Rhinolophidae,Europe,Russia,Alkhovsky 2021 bioRxiv https://doi.org/10.1101/2021.05.17.444362
Desmodus rotundus,101,Phyllostomidae,America,Brazil,Alves 2021 Transboundary and Emerging Diseases https://doi.org/10.1111/tbed.14150
Acerodon celebensis,25,Pteropodidae,Asia,Indonesia,Anindita 2015 Archiv Virol https://doi.org/10.1007/s00705-015-2342-1
Dobsonia moluccensis,17,Pteropodidae,Asia,Indonesia,Anindita 2015 Archiv Virol https://doi.org/10.1007/s00705-015-2342-1
Pteropus vampyrus,30,Pteropodidae,Asia,Indonesia,Anindita 2015 Archiv Virol https://doi.org/10.1007/s00705-015-2342-1
Coleura afra,108,Emballonuridae,Africa,Ghana,Annan 2013 EID https://dx.doi.org/10.3201%2Feid1903.121503
Taphozous perforatus,21,Emballonuridae,Africa,Ghana,Annan 2013 EID https://dx.doi.org/10.3201%2Feid1903.121503
Hipposideros abae,604,Hipposideridae,Africa,Ghana,Annan 2013 EID https://dx.doi.org/10.3201%2Feid1903.121503
Hipposideros cf. gigas,28,Hipposideridae,Africa,Ghana,Annan 2013 EID https://dx.doi.org/10.3201%2Feid1903.121503
Hipposideros cf. ruber,3763,Hipposideridae,Africa,Ghana,Annan 2013 EID https://dx.doi.org/10.3201%2Feid1903.121503
Hipposideros fuliginosus,1,Hipposideridae,Africa,Ghana,Annan 2013 EID https://dx.doi.org/10.3201%2Feid1903.121503
Hipposideros jonesi,31,Hipposideridae,Africa,Ghana,Annan 2013 EID https://dx.doi.org/10.3201%2Feid1903.121503
Nycteris cf. gambiensis,185,Nycteridae,Africa,Ghana,Annan 2013 EID https://dx.doi.org/10.3201%2Feid1903.121503
Rhinolophus alcyone,4,Rhinolophidae,Africa,Ghana,Annan 2013 EID https://dx.doi.org/10.3201%2Feid1903.121503
Rhinolophus landeri,13,Rhinolophidae,Africa,Ghana,Annan 2013 EID https://dx.doi.org/10.3201%2Feid1903.121503
Pipistrellus kuhlii,7,Vespertilionidae,Europe,Ukraine,Annan 2013 EID https://dx.doi.org/10.3201%2Feid1903.121503
Pipistrellus nathusii,82,Vespertilionidae,Europe,"Germany, Romania, Ukraine",Annan 2013 EID https://dx.doi.org/10.3201%2Feid1903.121503
Pipistrellus pipistrellus,42,Vespertilionidae,Europe,"Netherlands, Germany, Romania",Annan 2013 EID https://dx.doi.org/10.3201%2Feid1903.121503
Pipistrellus pygmaeus,141,Vespertilionidae,Europe,"Germany, Romania, Ukraine",Annan 2013 EID https://dx.doi.org/10.3201%2Feid1903.121503
Rhynchonycteris naso,1,Emballonuridae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Saccopteryx bilineata,1,Emballonuridae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Nyctinomops laticaudatus,5,Molossidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Nyctinomops macrotis,10,Molossidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Tadarida brasiliensis,10,Molossidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Mormoops megalophylla,11,Mormoopidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Pteronotus davyi,2,Mormoopidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Pteronotus parnellii,19,Mormoopidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Artibeus jamaicensis,93,Phyllostomidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Artibeus lituratus,108,Phyllostomidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Artibeus phaeotis,36,Phyllostomidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
Artibeus watsoni,17,Phyllostomidae,America,Mexico,Anthony 2013 J Gen Virol https://doi.org/10.1099/vir.0.049759-0
