"Bat.species","Bat.family","Link","Continent","Country","Reference"
"Emballonura alecto","Emballonuridae","https://doi.org/10.1007/s00705-012-1410-z","Asia","Philippines","Tsuda 2012 Arch Virol https://doi.org/10.1007/s00705-012-1410-z"
"Taphozous melanopogon","Emballonuridae","https://doi.org/10.1093/ve/vex012","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012"
"Taphozous melanopogon","Emballonuridae","https://doi.org/10.1186/s12985-015-0289-1","Asia","Thailand","Wacharapluesadee 2015 Virology Journal https://doi.org/10.1186/s12985-015-0289-1"
"Taphozous perforatus","Emballonuridae","https://dx.doi.org/10.3201%2Feid1911.131172","Asia","Saudi Arabia","Memish 2013 EID https://dx.doi.org/10.3201%2Feid1911.131172"
"Taphozous perforatus","Emballonuridae","https://dx.doi.org/10.1371%2Fjournal.pone.0214227","Asia","Saudi Arabia","Mishra 2019 PLoS ONE https://dx.doi.org/10.1371%2Fjournal.pone.0214227"
"Aselliscus stoliczkanus","Hipposideridae","https://doi.org/10.1371/journal.ppat.1006698","Asia","China","Hu 2017 PLoS Pathog https://doi.org/10.1371/journal.ppat.1006698"
"Aselliscus stoliczkanus","Hipposideridae","https://www.nature.com/articles/s41467-020-17687-33","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33"
"Aselliscus stoliczkanus","Hipposideridae","http://data.predict.global/","Asia","China, Laos","PREDICT database http://data.predict.global/"
"Aselliscus stoliczkanus","Hipposideridae","https://www.mdpi.com/1999-4915/13/10/1962","Asia","China, Laos","Wang 2021 Viruses https://www.mdpi.com/1999-4915/13/10/1962"
"Aselliscus stoliczkanus","Hipposideridae","https://doi.org/10.21203/rs.3.rs-885194/v1","Asia","China","Wu 2021 Research Square https://doi.org/10.21203/rs.3.rs-885194/v1"
"Hipposideros abae","Hipposideridae","https://doi.org/10.1128/JVI.01755-15","Africa","Ghana","Corman 2015 J Virol https://doi.org/10.1128/JVI.01755-15"
"Hipposideros armiger","Hipposideridae","https://doi.org/10.1093/ve/vex012","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012"
"Hipposideros armiger","Hipposideridae","https://doi.org/10.1093/ve/vex012","Africa, America, Asia","Cameroon, Gabon, Democratic Republic of Congo, Republic of Congo, Rwanda, Tanzania, Uganda, Peru, Bolivia, Brazil, Mexico, Bangladesh, Cambodia, China, Indonesia, Laos, Malaysia, Nepal, Thailand, Vietnam","Anthony 2017 Virus Evolution https://doi.org/10.1093/ve/vex012"
"Hipposideros armiger","Hipposideridae","https://doi.org/10.1016/j.meegid.2011.06.021","Asia","Thailand","Ar Gouilh	2011 IGE https://doi.org/10.1016/j.meegid.2011.06.021"
"Hipposideros armiger","Hipposideridae","https://doi.org/10.1111/zph.12271","Asia","Taiwan","Chen 2016 ZPH https://doi.org/10.1111/zph.12271"
"Hipposideros armiger","Hipposideridae","https://doi.org/10.1128/JVI.06671-11","Asia","China","Ge 2012 Journal of Virology https://doi.org/10.1128/JVI.06671-11"
"Hipposideros armiger","Hipposideridae","https://www.nature.com/articles/s41467-020-17687-33","Asia","China","Latinne 2020 Nature Communications https://www.nature.com/articles/s41467-020-17687-33"
